TransactionID,TransactionDT,TransactionAmt,ProductCD,card4,card6,Device_Is_New,P_emaildomain
30000,2026-02-07 08:19:01.652430,80.59,C,visa,debit,0,anon.net
30001,2026-02-07 08:18:01.652443,83.82,H,visa,credit,0,anon.net
30002,2026-02-07 08:17:01.652447,134.64,R,amex,credit,0,gmail.com
30003,2026-02-07 08:16:01.652450,58.24,H,amex,debit,0,anon.net
30004,2026-02-07 08:15:01.652453,197.78,C,mastercard,credit,0,anon.net
30005,2026-02-07 08:14:01.652456,144.66,W,amex,debit,0,yahoo.com
30006,2026-02-07 08:13:01.652459,12.39,W,mastercard,credit,0,yahoo.com
30007,2026-02-07 08:12:01.652462,106.14,W,amex,credit,0,gmail.com
30008,2026-02-07 08:11:01.652465,26.46,W,mastercard,debit,0,gmail.com
30009,2026-02-07 08:10:01.652468,26.74,W,visa,credit,0,corporate.com
30010,2026-02-07 08:09:01.652471,16.78,W,mastercard,debit,0,yahoo.com
30011,2026-02-07 08:08:01.652474,51.93,W,amex,debit,0,yahoo.com
30012,2026-02-07 08:07:01.652476,286.0,C,mastercard,credit,0,gmail.com
30013,2026-02-07 08:06:01.652479,24.03,W,mastercard,debit,1,anon.net
30014,2026-02-07 08:05:01.652482,159.67,W,mastercard,debit,0,anon.net
30015,2026-02-07 08:04:01.652484,17.07,H,amex,credit,0,yahoo.com
30016,2026-02-07 08:03:01.652487,123.13,H,amex,credit,0,corporate.com
30017,2026-02-07 08:02:01.652490,45.78,R,amex,debit,0,yahoo.com
30018,2026-02-07 08:01:01.652492,377.35,H,amex,credit,0,corporate.com
30019,2026-02-07 08:00:01.652496,26.99,H,mastercard,credit,0,anon.net
30020,2026-02-07 07:59:01.652499,240.95,H,visa,credit,0,anon.net
30021,2026-02-07 07:58:01.652502,66.72,W,visa,debit,0,corporate.com
30022,2026-02-07 07:57:01.652505,26.81,W,amex,debit,0,corporate.com
30023,2026-02-07 07:56:01.652507,70.33,W,mastercard,debit,0,corporate.com
30024,2026-02-07 07:55:01.652510,124.04,H,visa,debit,0,yahoo.com
30025,2026-02-07 07:54:01.652513,43.69,W,amex,credit,0,yahoo.com
30026,2026-02-07 07:53:01.652515,12.4,C,mastercard,debit,0,anon.net
30027,2026-02-07 07:52:01.652518,214.33,W,mastercard,credit,0,anon.net
30028,2026-02-07 07:51:01.652521,67.85,W,mastercard,debit,0,anon.net
30029,2026-02-07 07:50:01.652523,174.98,C,amex,credit,1,anon.net
30030,2026-02-07 07:49:01.652526,408.03,H,amex,debit,0,yahoo.com
30031,2026-02-07 07:48:01.652529,10.53,R,visa,credit,0,yahoo.com
30032,2026-02-07 07:47:01.652531,42.82,H,visa,debit,0,anon.net
30033,2026-02-07 07:46:01.652534,19.48,W,mastercard,credit,0,yahoo.com
30034,2026-02-07 07:45:01.652537,284.77,H,mastercard,credit,0,gmail.com
30035,2026-02-07 07:44:01.652540,83.87,W,amex,credit,0,yahoo.com
30036,2026-02-07 07:43:01.652542,113.19,H,visa,debit,0,corporate.com
30037,2026-02-07 07:42:01.652545,156.44,H,amex,debit,0,yahoo.com
30038,2026-02-07 07:41:01.652547,85.67,R,mastercard,debit,0,anon.net
30039,2026-02-07 07:40:01.652549,228.65,H,mastercard,credit,0,corporate.com
30040,2026-02-07 07:39:01.652552,49.98,H,mastercard,credit,0,corporate.com
30041,2026-02-07 07:38:01.652554,111.98,W,mastercard,debit,0,yahoo.com
30042,2026-02-07 07:37:01.652556,3.86,W,amex,credit,0,yahoo.com
30043,2026-02-07 07:36:01.652558,87.03,H,mastercard,credit,0,gmail.com
30044,2026-02-07 07:35:01.652561,9.0,C,amex,debit,0,yahoo.com
30045,2026-02-07 07:34:01.652563,53.64,C,mastercard,debit,0,anon.net
30046,2026-02-07 07:33:01.652566,24.59,W,visa,credit,0,gmail.com
30047,2026-02-07 07:32:01.652568,26.42,H,amex,debit,0,corporate.com
30048,2026-02-07 07:31:01.652571,35.94,H,amex,debit,0,gmail.com
30049,2026-02-07 07:30:01.652573,86.54,H,mastercard,debit,0,gmail.com
30050,2026-02-07 07:29:01.652576,41.86,H,mastercard,debit,0,gmail.com
30051,2026-02-07 07:28:01.652579,39.75,W,amex,debit,0,anon.net
30052,2026-02-07 07:27:01.652581,81.82,R,amex,credit,0,corporate.com
30053,2026-02-07 07:26:01.652584,217.47,W,visa,debit,0,corporate.com
30054,2026-02-07 07:25:01.652587,45.49,W,mastercard,credit,0,yahoo.com
30055,2026-02-07 07:24:01.652590,281.83,H,amex,debit,0,corporate.com
30056,2026-02-07 07:23:01.652592,170.63,W,amex,debit,0,corporate.com
30057,2026-02-07 07:22:01.652595,80.01,R,visa,credit,0,corporate.com
30058,2026-02-07 07:21:01.652598,125.14,W,visa,debit,0,gmail.com
30059,2026-02-07 07:20:01.652600,361.27,H,amex,credit,0,yahoo.com
30060,2026-02-07 07:19:01.652603,192.16,W,visa,credit,0,anon.net
30061,2026-02-07 07:18:01.652605,103.84,H,visa,debit,0,corporate.com
30062,2026-02-07 07:17:01.652608,393.61,W,amex,credit,0,corporate.com
30063,2026-02-07 07:16:01.652610,3.17,W,amex,debit,0,corporate.com
30064,2026-02-07 07:15:01.652613,228.07,H,visa,debit,0,corporate.com
30065,2026-02-07 07:14:01.652616,157.49,W,amex,credit,0,anon.net
30066,2026-02-07 07:13:01.652619,244.26,C,visa,credit,0,anon.net
30067,2026-02-07 07:12:01.652621,1.89,W,mastercard,debit,0,gmail.com
30068,2026-02-07 07:11:01.652623,148.47,W,amex,credit,0,corporate.com
30069,2026-02-07 07:10:01.652626,138.65,H,visa,credit,0,anon.net
30070,2026-02-07 07:09:01.652628,63.24,W,mastercard,credit,0,corporate.com
30071,2026-02-07 07:08:01.652630,409.4,W,amex,credit,0,yahoo.com
30072,2026-02-07 07:07:01.652633,142.03,C,visa,debit,0,gmail.com
30073,2026-02-07 07:06:01.652635,9.77,W,visa,credit,0,corporate.com
30074,2026-02-07 07:05:01.652638,71.22,R,visa,credit,0,gmail.com
30075,2026-02-07 07:04:01.652640,317.83,W,visa,debit,1,anon.net
30076,2026-02-07 07:03:01.652642,71.14,H,visa,debit,0,corporate.com
30077,2026-02-07 07:02:01.652645,39.42,W,visa,debit,0,gmail.com
30078,2026-02-07 07:01:01.652648,4.84,H,amex,credit,0,yahoo.com
30079,2026-02-07 07:00:01.652650,105.76,W,visa,debit,0,corporate.com
30080,2026-02-07 06:59:01.652653,87.64,W,visa,debit,0,corporate.com
30081,2026-02-07 06:58:01.652655,91.18,R,mastercard,credit,0,gmail.com
30082,2026-02-07 06:57:01.652658,294.63,W,visa,credit,0,anon.net
30083,2026-02-07 06:56:01.652660,7.02,C,visa,credit,0,corporate.com
30084,2026-02-07 06:55:01.652663,11.7,H,amex,debit,0,anon.net
30085,2026-02-07 06:54:01.652665,64.77,W,visa,debit,0,yahoo.com
30086,2026-02-07 06:53:01.652668,24.4,H,visa,credit,1,gmail.com
30087,2026-02-07 06:52:01.652671,70.83,H,visa,debit,0,corporate.com
30088,2026-02-07 06:51:01.652673,51.92,W,visa,debit,0,anon.net
30089,2026-02-07 06:50:01.652676,202.03,W,visa,credit,1,anon.net
30090,2026-02-07 06:49:01.652678,29.1,C,visa,credit,0,corporate.com
30091,2026-02-07 06:48:01.652681,181.4,W,visa,credit,0,anon.net
30092,2026-02-07 06:47:01.652684,40.72,H,amex,debit,1,corporate.com
30093,2026-02-07 06:46:01.652687,43.62,W,visa,credit,0,anon.net
30094,2026-02-07 06:45:01.652690,100.51,W,amex,debit,1,anon.net
30095,2026-02-07 06:44:01.652692,136.43,R,mastercard,debit,0,anon.net
30096,2026-02-07 06:43:01.652695,2.06,C,visa,credit,0,yahoo.com
30097,2026-02-07 06:42:01.652697,57.66,W,visa,credit,0,anon.net
30098,2026-02-07 06:41:01.652700,89.45,W,mastercard,debit,0,anon.net
30099,2026-02-07 06:40:01.652703,134.53,H,visa,debit,0,anon.net
30100,2026-02-07 06:39:01.652705,34.12,W,visa,debit,0,corporate.com
30101,2026-02-07 06:38:01.652707,230.28,H,mastercard,credit,0,yahoo.com
30102,2026-02-07 06:37:01.652710,5.98,W,visa,credit,0,yahoo.com
30103,2026-02-07 06:36:01.652713,316.32,W,visa,debit,0,corporate.com
30104,2026-02-07 06:35:01.652715,45.03,H,amex,debit,0,anon.net
30105,2026-02-07 06:34:01.652718,83.36,W,visa,debit,0,corporate.com
30106,2026-02-07 06:33:01.652721,271.06,H,amex,debit,0,gmail.com
30107,2026-02-07 06:32:01.652723,36.1,H,amex,credit,0,gmail.com
30108,2026-02-07 06:31:01.652726,66.6,W,visa,debit,0,gmail.com
30109,2026-02-07 06:30:01.652729,49.31,H,mastercard,credit,0,yahoo.com
30110,2026-02-07 06:29:01.652732,25.73,W,amex,debit,0,anon.net
30111,2026-02-07 06:28:01.652734,37.03,C,visa,debit,0,yahoo.com
30112,2026-02-07 06:27:01.652737,8.5,W,amex,credit,0,anon.net
30113,2026-02-07 06:26:01.652739,227.66,W,mastercard,credit,1,yahoo.com
30114,2026-02-07 06:25:01.652742,12.69,W,amex,credit,0,corporate.com
30115,2026-02-07 06:24:01.652745,171.95,W,mastercard,credit,0,yahoo.com
30116,2026-02-07 06:23:01.652747,11.98,W,amex,debit,0,gmail.com
30117,2026-02-07 06:22:01.652750,44.11,C,amex,credit,0,yahoo.com
30118,2026-02-07 06:21:01.652753,51.66,W,amex,debit,0,anon.net
30119,2026-02-07 06:20:01.652755,162.8,W,mastercard,credit,1,gmail.com
30120,2026-02-07 06:19:01.652758,2.33,W,mastercard,credit,0,anon.net
30121,2026-02-07 06:18:01.652761,39.23,R,amex,credit,0,gmail.com
30122,2026-02-07 06:17:01.652763,5.28,W,mastercard,debit,0,gmail.com
30123,2026-02-07 06:16:01.652766,5.85,W,amex,credit,0,yahoo.com
30124,2026-02-07 06:15:01.652768,88.11,W,mastercard,debit,0,corporate.com
30125,2026-02-07 06:14:01.652792,7.43,H,visa,credit,0,yahoo.com
30126,2026-02-07 06:13:01.652795,315.5,H,amex,credit,0,yahoo.com
30127,2026-02-07 06:12:01.652797,13.77,H,amex,debit,0,corporate.com
30128,2026-02-07 06:11:01.652799,150.48,C,amex,credit,0,corporate.com
30129,2026-02-07 06:10:01.652801,15.08,H,visa,debit,0,anon.net
30130,2026-02-07 06:09:01.652803,218.3,H,amex,debit,0,anon.net
30131,2026-02-07 06:08:01.652805,114.18,C,amex,debit,0,anon.net
